clusters	cut	ortho	annotation	Atid
TR97743|c1_g2	4	0	Protein kinase superfamily protein	AT1G25390
TR56186|c2_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR24002|c0_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR93056|c0_g1	6	0	Protein kinase superfamily protein	AT1G25390
TR38988|c0_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR32967|c0_g1	2	0	Protein kinase superfamily protein	AT1G25390
TR48237|c0_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR33223|c0_g1	6	0	Protein kinase superfamily protein	AT1G25390
TR77485|c0_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR68773|c0_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR38480|c1_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR67720|c1_g4	5	0	Protein kinase superfamily protein	AT1G25390
TR96378|c0_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR34159|c0_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR86555|c0_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR43586|c0_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR26168|c3_g1	6	0	Protein kinase superfamily protein	AT1G25390
TR89052|c0_g1	2	0	Protein kinase superfamily protein	AT1G25390
TR93792|c0_g1	3	0	Protein kinase superfamily protein	AT1G25390
TR56774|c0_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR79531|c0_g1	2	0	Protein kinase superfamily protein	AT1G25390
TR76219|c1_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR40819|c0_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR24709|c2_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR69175|c0_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR53755|c0_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR34119|c0_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR63243|c1_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR32980|c0_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR51091|c0_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR68950|c0_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR23439|c0_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR74576|c0_g1	6	0	Protein kinase superfamily protein	AT1G25390
TR96816|c2_g2	3	0	Protein kinase superfamily protein	AT1G25390
TR65480|c1_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR81971|c0_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR82130|c1_g2	1	0	Protein kinase superfamily protein	AT1G25390
TR89628|c0_g2	5	0	Protein kinase superfamily protein	AT1G25390
TR81696|c0_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR83698|c0_g1	3	0	Protein kinase superfamily protein	AT1G25390
