transcript	cluster	ortho	annota	Atid
TR24347|c4_g1	2	0	Protein kinase superfamily protein	AT1G25390
TR8470|c6_g4	2	0	Protein kinase superfamily protein	AT1G25390
TR9959|c5_g1	6	0	Protein kinase superfamily protein	AT1G25390
TR23162|c2_g1	3	0	Protein kinase superfamily protein	AT1G25390
TR27062|c13_g1	2	0	Protein kinase superfamily protein	AT1G25390
TR50039|c3_g1	3	0	Protein kinase superfamily protein	AT1G25390
TR5335|c1_g2	6	0	Protein kinase superfamily protein	AT1G25390
TR2684|c1_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR8644|c3_g2	2	0	Protein kinase superfamily protein	AT1G25390
TR10023|c8_g1	3	0	Protein kinase superfamily protein	AT1G25390
TR25309|c5_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR38224|c6_g1	2	0	Protein kinase superfamily protein	AT1G25390
TR18144|c5_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR10064|c2_g5	4	0	Protein kinase superfamily protein	AT1G25390
TR13488|c6_g1	6	0	Protein kinase superfamily protein	AT1G25390
TR22188|c7_g2	1	0	Protein kinase superfamily protein	AT1G25390
TR5351|c1_g2	1	0	Protein kinase superfamily protein	AT1G25390
TR52408|c1_g1	2	0	Protein kinase superfamily protein	AT1G25390
TR11109|c0_g2	4	0	Protein kinase superfamily protein	AT1G25390
TR33824|c2_g2	6	0	Protein kinase superfamily protein	AT1G25390
TR5351|c5_g2	5	0	Protein kinase superfamily protein	AT1G25390
TR49226|c5_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR42271|c0_g1	6	0	Protein kinase superfamily protein	AT1G25390
TR18320|c6_g4	6	0	Protein kinase superfamily protein	AT1G25390
TR55701|c1_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR37023|c2_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR18454|c0_g3	2	0	Protein kinase superfamily protein	AT1G25390
TR5351|c1_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR16933|c1_g2	2	0	Protein kinase superfamily protein	AT1G25390
TR13197|c0_g3	5	0	Protein kinase superfamily protein	AT1G25390
TR60106|c0_g1	3	0	Protein kinase superfamily protein	AT1G25390
TR4831|c2_g3	3	0	Protein kinase superfamily protein	AT1G25390
TR7808|c2_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR33824|c2_g1	2	0	Protein kinase superfamily protein	AT1G25390
